Nombre                   |Tipo                     |Valor                    |Longitud                 |Limite                   
_a                       |float                    |a                        |1                        |6648504                  
_d                       |float                    |d                        |1                        |0                        
_b                       |int                      |b                        |1                        |6648504                  
_c                       |int                      |c                        |1                        |0                        
_pri                     |string                   |pri                      |3                        |6648504                  
_0p12                    |cfloat                   |0.12                     |4                        |7604216                  
_1                       |cint                     |1                        |1                        |7604216                  
_12p1                    |cfloat                   |12.1                     |4                        |7604216                  
_escribir en pantalla    |cstring                  |Escribir en pantalla     |20                       |0                        
_hola                    |cstring                  |Hola                     |4                        |0                        
_if con else             |cstring                  |IF CON ELSE              |11                       |0                        

